evidence_id	claim_id	source_id	stance	value	citation	method	independence_notes	valid_from	valid_to	notes
game:param:ItemLotParam_map:20341:getItemFlagId:check-7773659	check:7773659/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":60140,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:30 table=map lot=20341 getItemFlagId=60140	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20350:getItemFlagId:check-7773824	check:7773824/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520350,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:866 table=map lot=20350 getItemFlagId=520350	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20360:getItemFlagId:check-7773825	check:7773825/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520360,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:867 table=map lot=20360 getItemFlagId=520360	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20370:getItemFlagId:check-7773826	check:7773826/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520370,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:868 table=map lot=20370 getItemFlagId=520370	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20380:getItemFlagId:check-7773827	check:7773827/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520380,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:869 table=map lot=20380 getItemFlagId=520380	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20390:getItemFlagId:check-7773828	check:7773828/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520390,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:870 table=map lot=20390 getItemFlagId=520390	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20400:getItemFlagId:check-7773829	check:7773829/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520400,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:871 table=map lot=20400 getItemFlagId=520400	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20410:getItemFlagId:check-7773830	check:7773830/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520410,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:872 table=map lot=20410 getItemFlagId=520410	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20420:getItemFlagId:check-7773831	check:7773831/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520420,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:873 table=map lot=20420 getItemFlagId=520420	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20430:getItemFlagId:check-7773832	check:7773832/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520430,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:874 table=map lot=20430 getItemFlagId=520430	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20440:getItemFlagId:check-7773833	check:7773833/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520440,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:875 table=map lot=20440 getItemFlagId=520440	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044410000:getItemFlagId:check-7773206	check:7773206/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044417000,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4625 table=map lot=2044410000 getItemFlagId=2044417000	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044450000:getItemFlagId:check-7773207	check:7773207/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044457000,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4628 table=map lot=2044450000 getItemFlagId=2044457000	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044450010:getItemFlagId:check-7773208	check:7773208/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044457010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4629 table=map lot=2044450010 getItemFlagId=2044457010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044450020:getItemFlagId:check-7773209	check:7773209/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044457020,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4630 table=map lot=2044450020 getItemFlagId=2044457020	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044450900:getItemFlagId:check-7773210	check:7773210/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044457900,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4631 table=map lot=2044450900 getItemFlagId=2044457900	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460000:getItemFlagId:check-7773212	check:7773212/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467000,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4633 table=map lot=2044460000 getItemFlagId=2044467000	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460010:getItemFlagId:check-7773213	check:7773213/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4634 table=map lot=2044460010 getItemFlagId=2044467010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460020:getItemFlagId:check-7773214	check:7773214/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467020,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4635 table=map lot=2044460020 getItemFlagId=2044467020	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460030:getItemFlagId:check-7773215	check:7773215/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467030,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4636 table=map lot=2044460030 getItemFlagId=2044467030	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460040:getItemFlagId:check-7773216	check:7773216/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467040,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4637 table=map lot=2044460040 getItemFlagId=2044467040	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460050:getItemFlagId:check-7773217	check:7773217/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467050,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4638 table=map lot=2044460050 getItemFlagId=2044467050	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460060:getItemFlagId:check-7773218	check:7773218/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467060,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4639 table=map lot=2044460060 getItemFlagId=2044467060	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460070:getItemFlagId:check-7773219	check:7773219/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467070,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4640 table=map lot=2044460070 getItemFlagId=2044467070	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460080:getItemFlagId:check-7773220	check:7773220/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467080,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4641 table=map lot=2044460080 getItemFlagId=2044467080	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460100:getItemFlagId:check-7770147	check:7770147/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":68640,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:216 table=map lot=2044460100 getItemFlagId=68640	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044460110:getItemFlagId:check-7773221	check:7773221/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044467110,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4642 table=map lot=2044460110 getItemFlagId=2044467110	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470000:getItemFlagId:check-7773223	check:7773223/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477000,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4645 table=map lot=2044470000 getItemFlagId=2044477000	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470010:getItemFlagId:check-7773224	check:7773224/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4646 table=map lot=2044470010 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470010:getItemFlagId:check-7900277	check:7900277/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4646 table=map lot=2044470010 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470010:getItemFlagId:check-7900278	check:7900278/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4646 table=map lot=2044470010 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470010:getItemFlagId:check-7900279	check:7900279/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4646 table=map lot=2044470010 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470011:getItemFlagId:check-7773224	check:7773224/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4647 table=map lot=2044470011 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470011:getItemFlagId:check-7900277	check:7900277/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4647 table=map lot=2044470011 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470011:getItemFlagId:check-7900278	check:7900278/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4647 table=map lot=2044470011 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470011:getItemFlagId:check-7900279	check:7900279/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4647 table=map lot=2044470011 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470012:getItemFlagId:check-7773224	check:7773224/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4648 table=map lot=2044470012 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470012:getItemFlagId:check-7900277	check:7900277/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4648 table=map lot=2044470012 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470012:getItemFlagId:check-7900278	check:7900278/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4648 table=map lot=2044470012 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470012:getItemFlagId:check-7900279	check:7900279/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4648 table=map lot=2044470012 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470013:getItemFlagId:check-7773224	check:7773224/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4649 table=map lot=2044470013 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470013:getItemFlagId:check-7900277	check:7900277/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4649 table=map lot=2044470013 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470013:getItemFlagId:check-7900278	check:7900278/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4649 table=map lot=2044470013 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470013:getItemFlagId:check-7900279	check:7900279/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477010,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4649 table=map lot=2044470013 getItemFlagId=2044477010	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470020:getItemFlagId:check-7773225	check:7773225/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477020,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4650 table=map lot=2044470020 getItemFlagId=2044477020	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470030:getItemFlagId:check-7773226	check:7773226/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477030,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4651 table=map lot=2044470030 getItemFlagId=2044477030	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470040:getItemFlagId:check-7773227	check:7773227/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477040,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4652 table=map lot=2044470040 getItemFlagId=2044477040	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470050:getItemFlagId:check-7773228	check:7773228/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477050,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4653 table=map lot=2044470050 getItemFlagId=2044477050	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2044470900:getItemFlagId:check-7773229	check:7773229/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2044477900,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4654 table=map lot=2044470900 getItemFlagId=2044477900	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:20450:getItemFlagId:check-7773834	check:7773834/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":520450,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:876 table=map lot=20450 getItemFlagId=520450	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
game:param:ItemLotParam_map:2045410000:getItemFlagId:check-7773230	check:7773230/detection	game:param:ItemLotParam_map:e9a01a4c8a13a82e5104afb15107e3e50bd8962564acc0f762586ee65f76e655	supports	"{""flag"":2045417000,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	greenfield/flag_lots.tsv:4655 table=map lot=2045410000 getItemFlagId=2045417000	tools/build_v060_current_evidence.py:map_lot_detection	Rows from ItemLotParam_map share one game:param family; multiple lot rows are one witness, not corroboration.	1.17		Exact map-lot acquisition flag from the committed param census.
