# AUTO-GENERATED by tools/datamine_sweep_trigger_npcs.py -- DO NOT EDIT, re-emit.
# Sweep trigger flag -> the npc_param ids `boss-fight` probe lines can carry for
# that trigger's boss. Read by tools/check_sweep_kill_correlation.py (#713).
#
# method=chr_boss   nameId -> chr -> NpcParam rows with isSoulGetByBoss=1. Strongest.
# method=chr_all    chr decoded but no boss-marked row; the whole chr family. Weaker.
# method=nameid     healthbar nameId matched NpcParam.nameId. Human NPCs only.
# method=UNRESOLVED no candidate set. 🛑 NOT a pass -- the correlator must report
#                   these as UNJUDGED, never fold them into the clean count.
#
# 🛑 npc_params is a CANDIDATE SET, not an identity. Several flags share a chr
#    (Adula and Smarag are both 4502 on m60_34) and one chr holds up to 10 rows.
#    A wide set makes the correlator LENIENT: it can miss a defect, not invent one.
#
# method counts: chr_boss=208, chr_all=11, nameid=16, UNRESOLVED=9
trigger_flag	map	tile	class	name	chr_id	method	n_candidates	npc_params
2047390800	m61_47	m61_47_39	legacy	Death Rite Bird	6260	chr_boss	1	62601084
2047450800	m61_47	m61_47_45	legacy	Black Knight Garrew	5840	chr_boss	4	58400590;58400690;58401290;58401390
2048380850	m61_48	m61_48_38	legacy	Ghostflame Dragon	5860	chr_boss	3	58600080;58600083;58600090
2048440800	m61_48	m61_48_44	legacy	Rellana, Twin Moon Knight	5300	chr_boss	1	53000082
2049410800	m61_49	m61_49_41	legacy	Jagged Peak Drake	5580	chr_boss	2	55800084;55800985
2049430850	m61_49	m61_49_43	legacy	Black Knight Edredd	5840	chr_boss	4	58400590;58400690;58401290;58401390
2049440800	m61_49	m61_49_44	legacy	Dryleaf Dane		nameid	1	524250190
2049450800	m61_49	m61_49_45	legacy	Ralva the Great Red Bear	5820	chr_boss	4	58200090;58200093;58200095;58200990
2049480800	m61_49	m61_49_48	legacy	Commander Gaius	5000	chr_boss	1	50000092
2050430800	m61_50	m61_50_43	legacy	Dryleaf Dane		nameid	1	524250190
2050470800	m61_50	m61_50_47	legacy	Tree Sentinel	6251	chr_boss	2	62510093;62511093
2050480810	m61_50	m61_50_48	legacy	Scadutree Avatar	5230	chr_boss	6	52300096;52300196;52300296;52300396;52300496;52300596
2050480811	m61_50	m61_50_48	legacy	Scadutree Avatar	5230	chr_boss	6	52300096;52300196;52300296;52300396;52300496;52300596
2050480812	m61_50	m61_50_48	legacy	Scadutree Avatar	5230	chr_boss	6	52300096;52300196;52300296;52300396;52300496;52300596
2050480860	m61_50	m61_50_48	legacy	Tree Sentinel	6251	chr_boss	2	62510093;62511093
2051440800	m61_51	m61_51_44	legacy	Rakshasa	0	chr_all	24	0;1;100;540;541;542;1000;9999;100000000;100000010;100000020;100000030;100000040;100000050;100000060;500000000;500000006;500000010;500000020;500000032;500000040;500000042;500000066;500001000
2052430800	m61_52	m61_52_43	legacy	Jori, Elder Inquisitor	5320	chr_boss	2	53200186;53200286
2052480800	m61_52	m61_52_48	legacy	Fallingstar Beast	6310	chr_boss	1	63101093
2054390800	m61_54	m61_54_39	legacy	Bayle the Dread	5120	chr_boss	1	51200085
2054390850	m61_54	m61_54_39	legacy	Ancient Dragon Senessax	5370	chr_boss	1	53701185
