flag,flag_source,item_name,region,method,confidence
290110,shop,[Incantation] Bloodboon,Roundtable Hold,shop_merchant,high
290120,shop,Maliketh's Black Blade,Roundtable Hold,shop_merchant,high
290130,shop,[Incantation] Black Blade,Roundtable Hold,shop_merchant,high
290140,shop,Axe of Godfrey,Roundtable Hold,shop_merchant,high
290150,shop,Ash of War: Hoarah Loux's Earthshaker,Roundtable Hold,shop_merchant,high
290160,shop,Dragon King's Cragblade,Roundtable Hold,shop_merchant,high
290170,shop,[Incantation] Placidusax's Ruin,Roundtable Hold,shop_merchant,high
290180,shop,Carian Regal Scepter,Roundtable Hold,shop_merchant,high
290190,shop,[Sorcery] Rennala's Full Moon,Roundtable Hold,shop_merchant,high
290200,shop,[Incantation] Fortissax's Lightning Spear,Roundtable Hold,shop_merchant,high
290210,shop,[Sorcery] Death Lightning,Roundtable Hold,shop_merchant,high
290220,shop,Giant's Red Braid,Roundtable Hold,shop_merchant,high
290230,shop,"[Incantation] Burn, O Flame!",Roundtable Hold,shop_merchant,high
290240,shop,Winged Greathorn,Roundtable Hold,shop_merchant,high
290250,shop,Ancestral Spirit's Horne,Roundtable Hold,shop_merchant,high
290260,shop,Marika's Hammer,Roundtable Hold,shop_merchant,high
290270,shop,Sacred Relic Sword,Roundtable Hold,shop_merchant,high
290280,shop,Bastard's Stars,Roundtable Hold,shop_merchant,high
290290,shop,Ash of War: Waves of Darkness,Roundtable Hold,shop_merchant,high
290300,shop,Rellana's Twin Blades,Roundtable Hold,shop_merchant,high
290310,shop,[Sorcery] Rellana's Twin Moons,Roundtable Hold,shop_merchant,high
290320,shop,,Roundtable Hold,shop_merchant,high
290330,shop,[Sorcery] Blades of Stone,Roundtable Hold,shop_merchant,high
290340,shop,Putrescence Cleaver,Roundtable Hold,shop_merchant,high
290350,shop,[Sorcery] Vortex of Putrescence,Roundtable Hold,shop_merchant,high
290360,shop,Poleblade of the Bud,Roundtable Hold,shop_merchant,high
290370,shop,[Incantation] Rotten Butterflies,Roundtable Hold,shop_merchant,high
290380,shop,Greatsword of Damnation,Roundtable Hold,shop_merchant,high
290390,shop,[Incantation] Midra's Flame of Frenzy,Roundtable Hold,shop_merchant,high
290400,shop,Shadow Sunflower Blossom,Roundtable Hold,shop_merchant,high
290410,shop,[Incantation] Land of Shadow,Roundtable Hold,shop_merchant,high
290420,shop,Spear of the Impaler,Roundtable Hold,shop_merchant,high
290430,shop,[Incantation] Messmer's Orb,Roundtable Hold,shop_merchant,high
290440,shop,Staff of the Great Beyond,Roundtable Hold,shop_merchant,high
290450,shop,Gazing Finger,Roundtable Hold,shop_merchant,high
290460,shop,Greatsword of Radahn (Lord),Roundtable Hold,shop_merchant,high
290470,shop,Greatsword of Radahn (Light),Roundtable Hold,shop_merchant,high
290480,shop,[Incantation] Light of Miquella,Roundtable Hold,shop_merchant,high
290500,shop,[Incantation] Dragonfire,Multiple merchants (various regions),shop_multi,na
290510,shop,[Incantation] Dragonice,Multiple merchants (various regions),shop_multi,na
290520,shop,[Incantation] Glintstone Breath,Roundtable Hold,shop_merchant,high
290530,shop,[Incantation] Rotten Breath,Multiple merchants (various regions),shop_multi,na
290540,shop,[Incantation] Agheel's Flame,Multiple merchants (various regions),shop_multi,na
290550,shop,[Incantation] Borealis's Mist,Roundtable Hold,shop_merchant,high
290560,shop,[Incantation] Smarag's Glintstone Breath,Roundtable Hold,shop_merchant,high
290570,shop,[Incantation] Ekzykes's Decay,Roundtable Hold,shop_merchant,high
290650,shop,[Incantation] Bayle's Tyranny,"Grand Altar of Dragon Communion (Jagged Peak, DLC)",shop_merchant,high
290660,shop,[Incantation] Bayle's Flame Lightning,"Grand Altar of Dragon Communion (Jagged Peak, DLC)",shop_merchant,high
290670,shop,[Incantation] Ghostflame Breath,"Grand Altar of Dragon Communion (Jagged Peak, DLC)",shop_merchant,high
290750,shop,[Incantation] Dragonclaw,Roundtable Hold,shop_merchant,high
290760,shop,[Incantation] Dragonmaw,Roundtable Hold,shop_merchant,high
290770,shop,[Incantation] Magma Breath,Multiple merchants (various regions),shop_multi,na
290780,shop,[Incantation] Theodorix's Magma,Roundtable Hold,shop_merchant,high
290790,shop,[Incantation] Greyoll's Roar,Roundtable Hold,shop_merchant,high
320500,shop,Rune Arc,Multiple merchants (various regions),shop_multi,na
320550,shop,Note: Sealed Spiritsprings,Gravesite Plain (DLC),shop_merchant,med
320560,shop,Rada Fruit,Multiple merchants (various regions),shop_multi,na
320570,shop,Redflesh Mushroom,Multiple merchants (various regions),shop_multi,na
320580,shop,Whiteflesh Mushroom,Multiple merchants (various regions),shop_multi,na
320590,shop,Knot Resin,Multiple merchants (various regions),shop_multi,na
320600,shop,Spellproof Pickled Liver,Gravesite Plain (DLC),shop_merchant,med
320610,shop,Fireproof Pickled Liver,Gravesite Plain (DLC),shop_merchant,med
320620,shop,Lightningproof Pickled Liver,Gravesite Plain (DLC),shop_merchant,med
320630,shop,Holyproof Pickled Liver,Gravesite Plain (DLC),shop_merchant,med
320640,shop,Well-Pickled Turtle Neck,Gravesite Plain (DLC),shop_merchant,med
320650,shop,Black Pyrefly,Gravesite Plain (DLC),shop_merchant,med
320660,shop,Sanguine Amaryllis,Gravesite Plain (DLC),shop_merchant,med
320700,shop,Deadly Poison Perfume Bottle,Gravesite Plain (DLC),shop_merchant,med
320710,shop,Poison Grease,Gravesite Plain (DLC),shop_merchant,med
320720,shop,Drawstring Poison Grease,Gravesite Plain (DLC),shop_merchant,med
320730,shop,Poisonbone Dart,Multiple merchants (various regions),shop_multi,na
320740,shop,Poisoned Stone,Multiple merchants (various regions),shop_multi,na
320750,shop,Poisoned Stone Clump,Multiple merchants (various regions),shop_multi,na
320760,shop,Altus Bloom,Gravesite Plain (DLC),shop_merchant,med
320770,shop,Miranda Powder,Multiple merchants (various regions),shop_multi,na
320780,shop,Poisonbloom,Gravesite Plain (DLC),shop_merchant,med
320790,shop,Toxic Mushroom,Multiple merchants (various regions),shop_multi,na
320800,shop,Toxic Mossling,Gravesite Plain (DLC),shop_merchant,med
320810,shop,Trina's Lily,Multiple merchants (various regions),shop_multi,na
320820,synthetic,GP/PT: Forager Brood Cookbook [2] - given by friendly Kindred of Rot E of PT,Gravesite Plain (DLC),synthetic_areacode,med
330000,shop,[Sorcery] Miriam's Vanishing,Cathedral of Manus Metyr (DLC),shop_merchant,high
330010,shop,[Sorcery] Glintstone Nail,Cathedral of Manus Metyr (DLC),shop_merchant,high
330020,shop,[Sorcery] Glintstone Nails,Cathedral of Manus Metyr (DLC),shop_merchant,high
330030,shop,[Sorcery] Fleeting Microcosm,Cathedral of Manus Metyr (DLC),shop_merchant,high
330040,shop,[Sorcery] Glintstone Pebble,Cathedral of Manus Metyr (DLC),shop_merchant,high
330050,shop,[Sorcery] Great Glintstone Shard,Cathedral of Manus Metyr (DLC),shop_merchant,high
330060,shop,[Sorcery] Glintblade Phalanx,Cathedral of Manus Metyr (DLC),shop_merchant,high
330070,shop,[Sorcery] Carian Phalanx,Cathedral of Manus Metyr (DLC),shop_merchant,high
330080,shop,[Sorcery] Carian Retaliation,Cathedral of Manus Metyr (DLC),shop_merchant,high
370070,shop,Remembrance of a God and a Lord,Multiple merchants (various regions),shop_multi,na
370080,shop,Remembrance of the Impaler,Multiple merchants (various regions),shop_multi,na
370180,shop,Remembrance of the Wild Boar Rider,Multiple merchants (various regions),shop_multi,na
370200,shop,Remembrance of the Shadow Sunflower,Multiple merchants (various regions),shop_multi,na
370210,shop,Remembrance of the Twin Moon Knight,Multiple merchants (various regions),shop_multi,na
370220,shop,Remembrance of the Saint of the Bud,Multiple merchants (various regions),shop_multi,na
370230,shop,Remembrance of the Dancing Lion,Multiple merchants (various regions),shop_multi,na
370240,shop,Remembrance of the Lord of Frenzied Flame,Multiple merchants (various regions),shop_multi,na
370250,shop,Remembrance of the Mother of Fingers,Multiple merchants (various regions),shop_multi,na
370260,shop,Remembrance of Putrescence,Multiple merchants (various regions),shop_multi,na
400000,shop,Omen Helm,Non-merchant reference (gallery list; reuses key-item flags),shop_reference,na
400010,map_lot,,Global / Common-event (unplaced),global,low
400020,map_lot,Neutralizing Boluses,Global / Common-event (unplaced),global,low
400021,map_lot,,Global / Common-event (unplaced),global,low
400030,map_lot,Festering Bloody Finger,Global / Common-event (unplaced),global,low
400032,map_lot,Pureblood Knight's Medal,Global / Common-event (unplaced),global,low
400040,map_lot,,Global / Common-event (unplaced),global,low
400041,map_lot,Perfume Bottle,Global / Common-event (unplaced),global,low
400042,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400049,map_lot,Kalé's Bell Bearing,Global / Common-event (unplaced),global,low
400051,map_lot,Gostoc's Bell Bearing,Global / Common-event (unplaced),global,low
400060,map_lot,Sacrificial Twig,Global / Common-event (unplaced),global,low
400069,map_lot,[Sorcery] Rancorcall,Global / Common-event (unplaced),global,low
400079,map_lot,[Incantation] Aspects of the Crucible: Breath,Global / Common-event (unplaced),global,low
400080,map_lot,Irina's Letter,Global / Common-event (unplaced),global,low
400081,map_lot,Rya's Necklace,Global / Common-event (unplaced),global,low
400090,map_lot,Volcano Manor Invitation,Global / Common-event (unplaced),global,low
400100,map_lot,Sellen's Primal Glintstone,Global / Common-event (unplaced),global,low
400101,map_lot,Glintstone Kris,Global / Common-event (unplaced),global,low
400102,map_lot,Sellian Sealbreaker,Global / Common-event (unplaced),global,low
400103,map_lot,Starlight Shards,Global / Common-event (unplaced),global,low
400104,map_lot,[Sorcery] Comet Azur,Global / Common-event (unplaced),global,low
400105,map_lot,[Sorcery] Stars of Ruin,Global / Common-event (unplaced),global,low
400108,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400109,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400120,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400121,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400122,synthetic,"RH: Rellana's Gloves - Enia shop, defeat CE/CLC mainboss",Roundtable Hold,synthetic_areacode,med
400130,map_lot,Haligtree Secret Medallion (Right),Global / Common-event (unplaced),global,low
400140,map_lot,Seluvis's Potion,Global / Common-event (unplaced),global,low
400141,map_lot,Magic Scorpion Charm,Global / Common-event (unplaced),global,low
400142,map_lot,,Global / Common-event (unplaced),global,low
400143,map_lot,Seluvis's Introduction,Global / Common-event (unplaced),global,low
400144,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400145,map_lot,Amber Draught,Global / Common-event (unplaced),global,low
400150,map_lot,Somber Smithing Stone [2],Global / Common-event (unplaced),global,low
400158,map_lot,Royal Greatsword,Global / Common-event (unplaced),global,low
400159,map_lot,Discarded Palace Key,Global / Common-event (unplaced),global,low
400161,map_lot,Smithing Stone [5],Global / Common-event (unplaced),global,low
400162,map_lot,Eleonora's Poleblade,Global / Common-event (unplaced),global,low
400164,map_lot,Iron Kasa,Global / Common-event (unplaced),global,low
400170,map_lot,Exalted Flesh,Global / Common-event (unplaced),global,low
400171,map_lot,Exalted Flesh,Global / Common-event (unplaced),global,low
400172,map_lot,Jar,Global / Common-event (unplaced),global,low
400173,map_lot,Alexander's Innards,Global / Common-event (unplaced),global,low
400181,map_lot,Dancer's Castanets,Global / Common-event (unplaced),global,low
400182,map_lot,Magma Whip Candlestick,Global / Common-event (unplaced),global,low
400184,map_lot,,Global / Common-event (unplaced),global,low
400189,map_lot,Patches' Bell Bearing,Global / Common-event (unplaced),global,low
400190,map_lot,Spirit Jellyfish Ashes,Global / Common-event (unplaced),global,low
400209,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400220,map_lot,Golden Seed,Global / Common-event (unplaced),global,low
400221,map_lot,Erdsteel Dagger,Global / Common-event (unplaced),global,low
400230,map_lot,Ancient Dragon Smithing Stone,Global / Common-event (unplaced),global,low
400231,map_lot,[Incantation] Gurranq's Beast Claw,Global / Common-event (unplaced),global,low
400232,map_lot,Beastclaw Greathammer,Global / Common-event (unplaced),global,low
400233,map_lot,[Incantation] Stone of Gurranq,Global / Common-event (unplaced),global,low
400234,map_lot,[Incantation] Beast Claw,Global / Common-event (unplaced),global,low
400235,map_lot,Ash of War: Beast's Roar,Global / Common-event (unplaced),global,low
400236,map_lot,[Incantation] Bestial Vitality,Global / Common-event (unplaced),global,low
400237,map_lot,[Incantation] Bestial Sling,Global / Common-event (unplaced),global,low
400238,map_lot,Clawmark Seal,Global / Common-event (unplaced),global,low
400239,map_lot,Beast Eye,Global / Common-event (unplaced),global,low
400260,map_lot,Glowstone,Global / Common-event (unplaced),global,low
400271,map_lot,Mushroom,Global / Common-event (unplaced),global,low
400280,map_lot,Haligtree Secret Medallion (Left),Global / Common-event (unplaced),global,low
400281,map_lot,,Global / Common-event (unplaced),global,low
400284,map_lot,All-Knowing Gauntlets,Global / Common-event (unplaced),global,low
400286,synthetic,"RH: Rellana's Greaves - Enia shop, defeat CE/CLC mainboss",Roundtable Hold,synthetic_areacode,med
400293,map_lot,Devourer's Scepter,Global / Common-event (unplaced),global,low
400294,map_lot,Beast Champion Helm,Global / Common-event (unplaced),global,low
400295,map_lot,[Sorcery] Gelmir's Fury,Global / Common-event (unplaced),global,low
400299,map_lot,Bernahl's Bell Bearing,Global / Common-event (unplaced),global,low
400310,map_lot,Unalloyed Gold Needle,Global / Common-event (unplaced),global,low
400311,map_lot,Sellia's Secret,Global / Common-event (unplaced),global,low
400312,map_lot,Flock's Canvas Talisman,Global / Common-event (unplaced),global,low
400320,map_lot,Prosthesis-Wearer Heirloom,Global / Common-event (unplaced),global,low
400325,map_lot,Somber Ancient Dragon Smithing Stone,Global / Common-event (unplaced),global,low
400331,map_lot,Weathered Dagger,Global / Common-event (unplaced),global,low
400332,map_lot,Sacrificial Twig,Global / Common-event (unplaced),global,low
400333,map_lot,Radiant Baldachin's Blessing,Global / Common-event (unplaced),global,low
400334,map_lot,Knifeprint Clue,Global / Common-event (unplaced),global,low
400357,map_lot,Black Knifeprint,Global / Common-event (unplaced),global,low
400361,map_lot,Academy Glintstone Staff,Global / Common-event (unplaced),global,low
400380,map_lot,Sewer-Gaol Key,Global / Common-event (unplaced),global,low
400391,map_lot,Carian Inverted Statue,Global / Common-event (unplaced),global,low
400392,map_lot,Cursemark of Death,Global / Common-event (unplaced),global,low
400395,map_lot,Fingerslayer Blade,Global / Common-event (unplaced),global,low
400396,synthetic,LG/(CE): Missionary's Cookbook [1] - Kalé Shop,Limgrave,synthetic_areacode,med
400400,map_lot,Ancient Dragon Smithing Stone,Global / Common-event (unplaced),global,low
400412,map_lot,Blue Silver Mail Hood,Global / Common-event (unplaced),global,low
400420,map_lot,Arsenal Charm,Global / Common-event (unplaced),global,low
400421,map_lot,Stormhawk Axe,Global / Common-event (unplaced),global,low
400422,map_lot,Ancient Dragon Smithing Stone,Global / Common-event (unplaced),global,low
400430,map_lot,[Sorcery] Stars of Ruin,Global / Common-event (unplaced),global,low
400440,map_lot,[Sorcery] Comet Azur,Global / Common-event (unplaced),global,low
400451,map_lot,Hoslow's Petal Whip,Global / Common-event (unplaced),global,low
400452,map_lot,Numen's Rune,Global / Common-event (unplaced),global,low
400590,map_lot,Lacerating Crossed-Tree,Global / Common-event (unplaced),global,low
400592,map_lot,Retaliatory Crossed-Tree,Global / Common-event (unplaced),global,low
400596,map_lot,Leda's Rune,Global / Common-event (unplaced),global,low
400600,map_lot,Golden Lion Shield,Global / Common-event (unplaced),global,low
400610,map_lot,Cross Map,Global / Common-event (unplaced),global,low
400611,map_lot,New Cross Map,Global / Common-event (unplaced),global,low
400612,map_lot,Furnace Visage,Global / Common-event (unplaced),global,low
400627,map_lot,Wise Man's Mask,Global / Common-event (unplaced),global,low
400630,map_lot,Thiollier's Concoction,Global / Common-event (unplaced),global,low
400636,map_lot,Thiollier's Mask,Global / Common-event (unplaced),global,low
400642,map_lot,Black Syrup,Global / Common-event (unplaced),global,low
400660,map_lot,Hole-Laden Necklace,Global / Common-event (unplaced),global,low
400661,map_lot,Ruins Map (2nd),Global / Common-event (unplaced),global,low
400662,map_lot,Ruins Map (3rd),Global / Common-event (unplaced),global,low
400664,map_lot,Ymir's Bell Bearing,Global / Common-event (unplaced),global,low
400666,map_lot,[Sorcery] Cherishing Fingers,Global / Common-event (unplaced),global,low
400670,map_lot,Swordhand of Night Jolán,Global / Common-event (unplaced),global,low
400671,map_lot,Sword of Night,Global / Common-event (unplaced),global,low
400672,map_lot,Claws of Night,Global / Common-event (unplaced),global,low
400700,map_lot,Ancient Dragon Florissax,Global / Common-event (unplaced),global,low
400702,map_lot,[Incantation] Dragonbolt of Florissax,Global / Common-event (unplaced),global,low
400704,map_lot,Priestess Heart,Global / Common-event (unplaced),global,low
400710,map_lot,Igon's Furled Finger,Global / Common-event (unplaced),global,low
400711,map_lot,Igon's Greatbow,Global / Common-event (unplaced),global,low
400712,map_lot,,Global / Common-event (unplaced),global,low
400714,map_lot,Igon's Greatbow,Global / Common-event (unplaced),global,low
400722,map_lot,Gourmet Scorpion Stew,Global / Common-event (unplaced),global,low
400730,map_lot,,Global / Common-event (unplaced),global,low
400750,map_lot,Glintslab Firefly,Global / Common-event (unplaced),global,low
400751,map_lot,Pearlescent Scale,Global / Common-event (unplaced),global,low
400752,map_lot,Dewgem,Global / Common-event (unplaced),global,low
400753,map_lot,Black Pyrefly,Global / Common-event (unplaced),global,low
400754,map_lot,Yellow Fulgurbloom,Global / Common-event (unplaced),global,low
400755,map_lot,Shadow Sunflower,Global / Common-event (unplaced),global,low
400901,map_lot,Nomadic Merchant's Bell Bearing [1],Global / Common-event (unplaced),global,low
400902,map_lot,Nomadic Merchant's Bell Bearing [2],Global / Common-event (unplaced),global,low
400903,map_lot,Nomadic Merchant's Bell Bearing [3],Global / Common-event (unplaced),global,low
400904,map_lot,Nomadic Merchant's Bell Bearing [4],Global / Common-event (unplaced),global,low
400905,map_lot,Nomadic Merchant's Bell Bearing [5],Global / Common-event (unplaced),global,low
400906,map_lot,Isolated Merchant's Bell Bearing [1],Global / Common-event (unplaced),global,low
400907,map_lot,Isolated Merchant's Bell Bearing [2],Global / Common-event (unplaced),global,low
400908,map_lot,Nomadic Merchant's Bell Bearing [6],Global / Common-event (unplaced),global,low
400909,map_lot,Hermit Merchant's Bell Bearing [1],Global / Common-event (unplaced),global,low
400910,map_lot,Nomadic Merchant's Bell Bearing [7],Global / Common-event (unplaced),global,low
400911,map_lot,Nomadic Merchant's Bell Bearing [8],Global / Common-event (unplaced),global,low
400912,map_lot,Nomadic Merchant's Bell Bearing [9],Global / Common-event (unplaced),global,low
400913,map_lot,Nomadic Merchant's Bell Bearing [10],Global / Common-event (unplaced),global,low
400914,map_lot,Nomadic Merchant's Bell Bearing [11],Global / Common-event (unplaced),global,low
400915,map_lot,Isolated Merchant's Bell Bearing [3],Global / Common-event (unplaced),global,low
400916,map_lot,Hermit Merchant's Bell Bearing [2],Global / Common-event (unplaced),global,low
400917,map_lot,Abandoned Merchant's Bell Bearing,Global / Common-event (unplaced),global,low
400918,map_lot,Hermit Merchant's Bell Bearing [3],Global / Common-event (unplaced),global,low
400919,map_lot,Imprisoned Merchant's Bell Bearing,Global / Common-event (unplaced),global,low
500010,map_lot,Roped Fire Pot,Global / Common-event (unplaced),global,low
500020,map_lot,,Global / Common-event (unplaced),global,low
500520,map_lot,,Global / Common-event (unplaced),global,low
510010,map_lot,Remembrance of the Grafted,Stormveil Castle,boss_arena,med
510030,map_lot,Ornamental Straight Sword,Global / Common-event (unplaced),global,low
510040,map_lot,Remembrance of the Omen King,"Leyndell, Royal Capital",boss_arena,med
510060,map_lot,Scepter of the All-Knowing,Global / Common-event (unplaced),global,low
510070,map_lot,Remembrance of Hoarah Loux,Leyndell (Ashen Capital),boss_arena,med
510080,map_lot,Remembrance of the Naturalborn,Lake of Rot (Astel),boss_arena,med
510090,map_lot,[Incantation] Frozen Lightning Spear,Global / Common-event (unplaced),global,low
510110,map_lot,Remembrance of the Lichdragon,Deeproot Depths (Lichdragon Fortissax),boss_arena,med
510140,map_lot,Smithing-Stone Miner's Bell Bearing [4],Global / Common-event (unplaced),global,low
510150,map_lot,Remembrance of the Dragonlord,Crumbling Farum Azula,boss_arena,med
510160,map_lot,Remembrance of the Black Blade,Crumbling Farum Azula,boss_arena,med
510190,map_lot,[Sorcery] Loretta's Mastery,Global / Common-event (unplaced),global,low
510210,map_lot,Godskin Stitcher,Global / Common-event (unplaced),global,low
510220,map_lot,Remembrance of the Blasphemous,Volcano Manor (Rykard),boss_arena,med
510230,map_lot,Elden Remembrance,Fractured Marika (final),boss_arena,med
510250,map_lot,[Incantation] Bloodflame Talons,Global / Common-event (unplaced),global,low
510260,map_lot,Magma Wyrm's Scalesword,Global / Common-event (unplaced),global,low
510280,map_lot,Golden Seed,Global / Common-event (unplaced),global,low
510290,map_lot,Inquisitor's Girandole,Global / Common-event (unplaced),global,low
510310,map_lot,Remembrance of the Fire Giant,Mountaintops of the Giants,boss_arena,med
510320,map_lot,Ancestral Follower Ashes,Global / Common-event (unplaced),global,low
510330,map_lot,Remembrance of the Regal Ancestor,Nokron / Siofra (Ancestor Spirit),boss_arena,med
510340,map_lot,Larval Tear,Global / Common-event (unplaced),global,low
510350,map_lot,[Sorcery] Fia's Mist,Global / Common-event (unplaced),global,low
510400,map_lot,Remembrance of the Dancing Lion,"Belurat, Tower Settlement (DLC)",boss_arena,med
510430,map_lot,Remembrance of a God and a Lord,Enir-Ilim (DLC),boss_arena,med
510440,map_lot,[Incantation] Aspects of the Crucible: Thorns,Global / Common-event (unplaced),global,low
510460,map_lot,Remembrance of the Impaler,Shadow Keep (DLC),boss_arena,med
510480,map_lot,Remembrance of Putrescence,Stone Coffin Fissure (DLC),boss_arena,med
510550,map_lot,Remembrance of the Mother of Fingers,Cathedral of Manus Metyr (DLC),boss_arena,med
510560,map_lot,Remembrance of the Lord of Frenzied Flame,Midra's Manse (DLC),boss_arena,med
510600,map_lot,Remembrance of the Saint of the Bud,Church of the Bud (DLC),boss_arena,med
510610,map_lot,Barbed Staff-Spear,Global / Common-event (unplaced),global,low
510620,map_lot,Remembrance of the Shadow Sunflower,Scadu Altus (DLC),boss_arena,med
510640,map_lot,Remembrance of the Wild Boar Rider,Scadu Altus (DLC),boss_arena,med
510730,map_lot,Godskin Apostle Hood,Global / Common-event (unplaced),global,low
510800,map_lot,Grafted Blade Greatsword,Global / Common-event (unplaced),global,low
510810,map_lot,[Sorcery] Loretta's Greatbow,Global / Common-event (unplaced),global,low
510820,map_lot,Marais Executioner's Sword,Global / Common-event (unplaced),global,low
510830,map_lot,Ruins Greatsword,Global / Common-event (unplaced),global,low
510840,map_lot,Veteran's Prosthesis,Global / Common-event (unplaced),global,low
510900,map_lot,Remembrance of the Twin Moon Knight,Castle Ensis (DLC),boss_arena,med
520050,map_lot,Twinsage Sorcerer Ashes,Global / Common-event (unplaced),global,low
520060,map_lot,Glintstone Sorcerer Ashes,Global / Common-event (unplaced),global,low
520070,map_lot,Kaiden Sellsword Ashes,Global / Common-event (unplaced),global,low
520080,map_lot,Ancient Dragon Knight Kristoff,Global / Common-event (unplaced),global,low
520090,map_lot,Bloodhound Knight Floh,Global / Common-event (unplaced),global,low
520100,map_lot,Ordovis's Greatsword,Global / Common-event (unplaced),global,low
520110,map_lot,Perfumer Tricia,Global / Common-event (unplaced),global,low
520120,map_lot,Glovewort Picker's Bell Bearing [1],Global / Common-event (unplaced),global,low
520130,map_lot,Soldjars of Fortune Ashes,Global / Common-event (unplaced),global,low
520140,map_lot,Mad Pumpkin Head Ashes,Global / Common-event (unplaced),global,low
520150,map_lot,Kindred of Rot Ashes,Global / Common-event (unplaced),global,low
520160,map_lot,Redmane Knight Ogha,Global / Common-event (unplaced),global,low
520170,map_lot,Zamor Curved Sword,Global / Common-event (unplaced),global,low
520180,map_lot,Golden Seed,Global / Common-event (unplaced),global,low
520190,map_lot,Great Grave Glovewort,Global / Common-event (unplaced),global,low
520220,map_lot,Lord of Blood's Exultation,Global / Common-event (unplaced),global,low
520310,map_lot,Spelldrake Talisman,Global / Common-event (unplaced),global,low
520350,map_lot,Blue Dancer Charm,Global / Common-event (unplaced),global,low
520360,map_lot,Winged Sword Insignia,Global / Common-event (unplaced),global,low
520370,map_lot,Cerulean Amber Medallion,Global / Common-event (unplaced),global,low
520380,map_lot,[Sorcery] Crystal Release,Global / Common-event (unplaced),global,low
520390,map_lot,Kindred of Rot's Exultation,Global / Common-event (unplaced),global,low
520400,map_lot,Jar Cannon,Global / Common-event (unplaced),global,low
520410,map_lot,Great Omenkiller Cleaver,Global / Common-event (unplaced),global,low
520420,map_lot,Concealing Veil,Global / Common-event (unplaced),global,low
520430,map_lot,Putrid Corpse Ashes,Global / Common-event (unplaced),global,low
520440,map_lot,Flamedrake Talisman +2,Global / Common-event (unplaced),global,low
520450,map_lot,Gold Scarab,Global / Common-event (unplaced),global,low
520460,map_lot,[Sorcery] Crystal Torrent,Global / Common-event (unplaced),global,low
520470,map_lot,Golden Order Greatsword,Global / Common-event (unplaced),global,low
520480,map_lot,Godskin Swaddling Cloth,Global / Common-event (unplaced),global,low
520490,map_lot,Family Heads,Global / Common-event (unplaced),global,low
520600,map_lot,Rusted Anchor,Global / Common-event (unplaced),global,low
520610,map_lot,Roar Medallion,Global / Common-event (unplaced),global,low
520620,map_lot,Smithing-Stone Miner's Bell Bearing [1],Global / Common-event (unplaced),global,low
520630,map_lot,Great Club,Global / Common-event (unplaced),global,low
520640,map_lot,Onyx Lord's Greatsword,Global / Common-event (unplaced),global,low
520650,map_lot,Somberstone Miner's Bell Bearing [2],Global / Common-event (unplaced),global,low
520660,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
520670,map_lot,Somber Smithing Stone [6],Global / Common-event (unplaced),global,low
520680,map_lot,[Sorcery] Meteorite of Astel,Global / Common-event (unplaced),global,low
520710,map_lot,Death Knight's Longhaft Axe,Global / Common-event (unplaced),global,low
520711,map_lot,Cerulean Amber Medallion +3,Global / Common-event (unplaced),global,low
520750,map_lot,Demi-Human Swordsman Yosh,Global / Common-event (unplaced),global,low
520760,map_lot,Curseblade Meera,Global / Common-event (unplaced),global,low
520770,map_lot,Lamenter's Mask,Global / Common-event (unplaced),global,low
520800,map_lot,Bloodfiend Hexer's Ashes,Global / Common-event (unplaced),global,low
520810,map_lot,Dragon-Hunter's Great Katana,Global / Common-event (unplaced),global,low
530405,map_lot,Commander's Standard,Global / Common-event (unplaced),global,low
530420,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
530425,map_lot,Gargoyle's Blackblade,Global / Common-event (unplaced),global,low
530505,map_lot,Gargoyle's Black Blades,Global / Common-event (unplaced),global,low
530510,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
530515,map_lot,[Incantation] Vyke's Dragonbolt,Global / Common-event (unplaced),global,low
530530,map_lot,Death Ritual Spear,Global / Common-event (unplaced),global,low
530550,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
530800,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
530805,map_lot,Ancient Dragon Smithing Stone,Global / Common-event (unplaced),global,low
530810,map_lot,Dancing Blade of Ranah,Global / Common-event (unplaced),global,low
530820,map_lot,Greatsword of Solitude,Global / Common-event (unplaced),global,low
530830,map_lot,Rakshasa's Great Katana,Global / Common-event (unplaced),global,low
530840,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
530845,map_lot,Star-Lined Sword,Global / Common-event (unplaced),global,low
530850,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
530855,map_lot,Ash of War: Ghostflame Call,Global / Common-event (unplaced),global,low
530860,map_lot,Dragon Heart,Global / Common-event (unplaced),global,low
530861,map_lot,Somber Ancient Dragon Smithing Stone,Global / Common-event (unplaced),global,low
